Inventory_ID,Date,Business_Type,Food_Category,Purchase_Quantity,Units_Sold,Remaining_Stock,Shelf_Life_Days,Storage_Temperature,Daily_Demand,Promotion,Weather,Waste_Quantity,Waste_Reason,Donation_Made,Waste_Level
INV000001,2025-01-01,Restaurant,Bakery,77,77,0,4.0,20.4,77.0,No,Sunny,0,No Waste,No,Low
INV000002,2025-01-01,Cafeteria,Bakery,75,53,22,3.0,22.8,53.0,No,Cloudy,6,Low Demand,No,Medium
INV000003,2025-01-01,Supermarket,Fruits,176,159,17,6.0,12.4,159.0,No,Sunny,4,Expired,No,Medium
INV000004,2025-01-01,Cafeteria,Dairy,58,58,0,7.0,3.5,83.0,Yes,Cloudy,0,No Waste,No,Low
INV000005,2025-01-01,Restaurant,Fruits,85,85,0,3.0,3.3,87.0,No,Hot,0,No Waste,No,Low
INV000006,2025-01-01,Supermarket,Bakery,138,138,0,3.0,17.0,183.0,Yes,Rainy,0,No Waste,No,Low
INV000007,2025-01-01,Supermarket,Vegetables,178,145,33,7.0,4.0,145.0,No,Cloudy,4,Overproduction,No,Medium
INV000008,2025-01-01,Restaurant,Dairy,105,94,11,8.0,5.9,94.0,No,Sunny,1,Storage Issue,No,Low
INV000009,2025-01-01,Cafeteria,Prepared Food,71,54,17,2.0,16.0,54.0,No,Sunny,4,Expired,No,Medium
INV000010,2025-01-01,Restaurant,Bakery,106,106,0,3.0,23.6,129.0,Yes,Sunny,0,No Waste,No,Low
INV000011,2025-01-01,Supermarket,Fruits,161,112,49,4.0,8.4,112.0,Yes,Rainy,9,Expired,,Medium
INV000012,2025-01-01,Restaurant,Fruits,73,73,0,4.0,7.1,73.0,No,Hot,0,No Waste,,Low
INV000013,2025-01-01,Cafeteria,Vegetables,102,82,20,3.0,2.8,82.0,Yes,Sunny,4,Expired,No,Medium
INV000014,2025-01-01,Cloud Kitchen,Prepared Food,111,58,53,2.0,13.9,58.0,No,Rainy,18,Overproduction,No,High
INV000015,2025-01-01,Supermarket,Dairy,177,177,0,11.0,1.7,227.0,Yes,Cloudy,0,No Waste,No,Low
INV000016,2025-01-01,Cafeteria,Meat,74,49,25,5.0,3.9,49.0,No,Cloudy,8,Overproduction,No,High
INV000017,2025-01-01,Cloud Kitchen,Vegetables,81,81,0,6.0,5.7,100.0,No,Sunny,0,No Waste,No,Low
INV000018,2025-01-01,Supermarket,Meat,118,118,0,,1.9,118.0,No,Rainy,0,No Waste,No,Low
INV000019,2025-01-02,Cloud Kitchen,Vegetables,72,56,16,9.0,5.0,56.0,No,Rainy,2,Low Demand,No,Medium
